image,session,chunk,eye,frame_idx,size,md5,src_path
20260515_080706_YPFFJB_007_f001070.jpg,20260515_080706_YPFFJB,007,left,1070,736102,3de099ef6ad72965d3ad785528720fb7,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f001070.jpg
20260515_080706_YPFFJB_007_f002985.jpg,20260515_080706_YPFFJB,007,left,2985,680624,d7d227c66b0493f13cc1c25923b83ddd,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f002985.jpg
20260515_080706_YPFFJB_007_f002990.jpg,20260515_080706_YPFFJB,007,left,2990,685160,c5a461d200b7d0e4b9183f812c95e66f,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f002990.jpg
20260515_080706_YPFFJB_007_f002995.jpg,20260515_080706_YPFFJB,007,left,2995,694215,3cd6a2535783f0549e2a237eef6467d5,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f002995.jpg
20260515_080706_YPFFJB_007_f003000.jpg,20260515_080706_YPFFJB,007,left,3000,675269,aa6d1ce17c294543435c2b23f47e7aac,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f003000.jpg
20260515_080706_YPFFJB_007_f003005.jpg,20260515_080706_YPFFJB,007,left,3005,688478,804a5f26d9dade75f015142b6c908cad,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f003005.jpg
20260515_080706_YPFFJB_007_f003010.jpg,20260515_080706_YPFFJB,007,left,3010,693098,68274364f4554ff4bd65d7b110417ca9,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f003010.jpg
20260515_080706_YPFFJB_007_f003015.jpg,20260515_080706_YPFFJB,007,left,3015,692126,654df2d434ba1f150d06b5fb81049f6b,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f003015.jpg
20260515_080706_YPFFJB_007_f007765.jpg,20260515_080706_YPFFJB,007,left,7765,688095,6f2afae28859fa5191df06c302e76e36,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007765.jpg
20260515_080706_YPFFJB_007_f007770.jpg,20260515_080706_YPFFJB,007,left,7770,677043,42b3513d66e4d9f84095f9a8ca76abd2,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007770.jpg
20260515_080706_YPFFJB_007_f007775.jpg,20260515_080706_YPFFJB,007,left,7775,685731,31db7788635e64cea7f794a62fec5cec,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007775.jpg
20260515_080706_YPFFJB_007_f007780.jpg,20260515_080706_YPFFJB,007,left,7780,697750,71529476fc89131f88a8c8f647538ea3,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007780.jpg
20260515_080706_YPFFJB_007_f007785.jpg,20260515_080706_YPFFJB,007,left,7785,695698,98f7cca834c6fae456ab081f348c9b5d,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007785.jpg
20260515_080706_YPFFJB_007_f007790.jpg,20260515_080706_YPFFJB,007,left,7790,696890,ee2d1539c6d5145c8d3a11bec88610b8,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007790.jpg
20260515_080706_YPFFJB_007_f007795.jpg,20260515_080706_YPFFJB,007,left,7795,699934,facb175218ff093169871609b7ff1969,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007795.jpg
20260515_080706_YPFFJB_007_f007800.jpg,20260515_080706_YPFFJB,007,left,7800,680482,6e30e12f98d8f5c359f704403332df19,/data/liangzhenghao/face_pii/gt_eval_frames/20260515_080706_YPFFJB_007_f007800.jpg
