image,session,chunk,eye,frame_idx,t_ms,size,md5,round,local_name,src_oss_key,oss_key
20260414_055719_ZUNSUJ_c000_left_f002549.jpg,20260414_055719_ZUNSUJ,000,left,2549,82233,577090,52b434ef1d3a89ad4154be3cadc66b45,2,20260414_055719_ZUNSUJ_c000_lview_t82233.jpg,faceight_b/images/20260414_055719_ZUNSUJ_c000_f002549.jpg,pii/data/faceight_b/20260414_055719_ZUNSUJ_c000_left_f002549.jpg
20260414_055719_ZUNSUJ_c000_left_f004410.jpg,20260414_055719_ZUNSUJ,000,left,4410,142233,563994,88eef28acbbdfeda0010d9c33603ac45,2,20260414_055719_ZUNSUJ_c000_lview_t142233.jpg,faceight_b/images/20260414_055719_ZUNSUJ_c000_f004410.jpg,pii/data/faceight_b/20260414_055719_ZUNSUJ_c000_left_f004410.jpg
20260414_055719_ZUNSUJ_c000_right_f001402.jpg,20260414_055719_ZUNSUJ,000,right,1402,45233,578034,d81e715a05dd01dc83e94fbe6257e890,2,20260414_055719_ZUNSUJ_c000_rview_t45233.jpg,faceight_b/images/20260414_055719_ZUNSUJ_c000_f001402.jpg,pii/data/faceight_b/20260414_055719_ZUNSUJ_c000_right_f001402.jpg
20260414_055719_ZUNSUJ_c000_right_f002332.jpg,20260414_055719_ZUNSUJ,000,right,2332,75233,579474,fd5363092d616202622e4b3d7bdcacbd,2,20260414_055719_ZUNSUJ_c000_rview_t75233.jpg,faceight_b/images/20260414_055719_ZUNSUJ_c000_f002332.jpg,pii/data/faceight_b/20260414_055719_ZUNSUJ_c000_right_f002332.jpg
20260414_060914_NVZEQS_c000_right_f000472.jpg,20260414_060914_NVZEQS,000,right,472,15233,574830,45388393b0caca64427037f2dce1a12f,2,20260414_060914_NVZEQS_c000_rview_t15233.jpg,faceight_b/images/20260414_060914_NVZEQS_c000_f000472.jpg,pii/data/faceight_b/20260414_060914_NVZEQS_c000_right_f000472.jpg
20260414_060914_NVZEQS_c000_right_f002332.jpg,20260414_060914_NVZEQS,000,right,2332,75233,567881,68178ba49cacc5e44db4c95525efb2ca,2,20260414_060914_NVZEQS_c000_rview_t75233.jpg,faceight_b/images/20260414_060914_NVZEQS_c000_f002332.jpg,pii/data/faceight_b/20260414_060914_NVZEQS_c000_right_f002332.jpg
20260414_060914_NVZEQS_c000_right_f002797.jpg,20260414_060914_NVZEQS,000,right,2797,90233,566572,1dce7efe87e44736e2896582abeb276a,2,20260414_060914_NVZEQS_c000_rview_t90233.jpg,faceight_b/images/20260414_060914_NVZEQS_c000_f002797.jpg,pii/data/faceight_b/20260414_060914_NVZEQS_c000_right_f002797.jpg
20260415_022931_SNCAQR_c001_right_f002332.jpg,20260415_022931_SNCAQR,001,right,2332,75233,756387,772ef8dac333ff18b004ab6c47549ea4,2,20260415_022931_SNCAQR_c001_rview_t75233.jpg,faceight_b/images/20260415_022931_SNCAQR_c001_f002332.jpg,pii/data/faceight_b/20260415_022931_SNCAQR_c001_right_f002332.jpg
20260415_022931_SNCAQR_c001_right_f006518.jpg,20260415_022931_SNCAQR,001,right,6518,210233,741701,c2a368001f04df4f026c02dd6504179b,2,20260415_022931_SNCAQR_c001_rview_t210233.jpg,faceight_b/images/20260415_022931_SNCAQR_c001_f006518.jpg,pii/data/faceight_b/20260415_022931_SNCAQR_c001_right_f006518.jpg
20260415_033403_EYFSAT_c001_right_f002332.jpg,20260415_033403_EYFSAT,001,right,2332,75233,675899,89c3bc06833c19b9048ba360182b5641,2,20260415_033403_EYFSAT_c001_rview_t75233.jpg,faceight_b/images/20260415_033403_EYFSAT_c001_f002332.jpg,pii/data/faceight_b/20260415_033403_EYFSAT_c001_right_f002332.jpg
