image,session,chunk,eye,frame_idx,t_ms,size,md5,round,local_name,oss_key
20260414_055719_ZUNSUJ_c000_left_f000100.jpg,20260414_055719_ZUNSUJ,000,left,100,3233,588630,405905605a70661cee7d0a19417ee999,1,20260414_055719_ZUNSUJ_c000_lview_t3233.jpg,faceight/images/20260414_055719_ZUNSUJ_c000_f000100.jpg
20260414_055719_ZUNSUJ_c000_left_f000224.jpg,20260414_055719_ZUNSUJ,000,left,224,7233,579290,553114870a8b092752c2eca62a4a6efd,1,20260414_055719_ZUNSUJ_c000_lview_t7233.jpg,faceight/images/20260414_055719_ZUNSUJ_c000_f000224.jpg
20260414_055719_ZUNSUJ_c000_left_f000286.jpg,20260414_055719_ZUNSUJ,000,left,286,9233,588935,001b963e989845cd110170b94f75ee46,1,20260414_055719_ZUNSUJ_c000_lview_t9233.jpg,faceight/images/20260414_055719_ZUNSUJ_c000_f000286.jpg
20260414_055719_ZUNSUJ_c000_left_f003728.jpg,20260414_055719_ZUNSUJ,000,left,3728,120233,585698,d054f26b85d91bd5b5dadb7cdb418cea,1,20260414_055719_ZUNSUJ_c000_lview_t120233.jpg,faceight/images/20260414_055719_ZUNSUJ_c000_f003728.jpg
20260414_060914_NVZEQS_c000_left_f000100.jpg,20260414_060914_NVZEQS,000,left,100,3233,579422,c56085cfece530cb566578f23b5f0663,1,20260414_060914_NVZEQS_c000_lview_t3233.jpg,faceight/images/20260414_060914_NVZEQS_c000_f000100.jpg
20260414_060914_NVZEQS_c000_left_f000224.jpg,20260414_060914_NVZEQS,000,left,224,7233,588958,fcfb718a7329e80ff207ec4733b9288b,1,20260414_060914_NVZEQS_c000_lview_t7233.jpg,faceight/images/20260414_060914_NVZEQS_c000_f000224.jpg
20260414_060914_NVZEQS_c000_left_f000286.jpg,20260414_060914_NVZEQS,000,left,286,9233,586243,81e87606ce0eb608ea84158976c4c563,1,20260414_060914_NVZEQS_c000_lview_t9233.jpg,faceight/images/20260414_060914_NVZEQS_c000_f000286.jpg
20260414_060914_NVZEQS_c000_left_f001867.jpg,20260414_060914_NVZEQS,000,left,1867,60233,591313,74a16187b7c52513b12e28c8d4bc493f,1,20260414_060914_NVZEQS_c000_lview_t60233.jpg,faceight/images/20260414_060914_NVZEQS_c000_f001867.jpg
20260414_060914_NVZEQS_c000_left_f003728.jpg,20260414_060914_NVZEQS,000,left,3728,120233,583553,49eb4bdefb616938423a72dd44961c99,1,20260414_060914_NVZEQS_c000_lview_t120233.jpg,faceight/images/20260414_060914_NVZEQS_c000_f003728.jpg
20260414_060914_NVZEQS_c000_left_f005588.jpg,20260414_060914_NVZEQS,000,left,5588,180233,577520,cefaa386860c1ff9612e7105748770d6,1,20260414_060914_NVZEQS_c000_lview_t180233.jpg,faceight/images/20260414_060914_NVZEQS_c000_f005588.jpg
20260415_033403_EYFSAT_c001_left_f000100.jpg,20260415_033403_EYFSAT,001,left,100,3233,711995,dd70a93fcc7ffa9ea099fe2267be9887,1,20260415_033403_EYFSAT_c001_lview_t3233.jpg,faceight/images/20260415_033403_EYFSAT_c001_f000100.jpg
20260415_061902_ERLADM_c011_left_f000286.jpg,20260415_061902_ERLADM,011,left,286,9233,575570,e07fd76291ed083aeaeb98ac00ff4a6f,1,20260415_061902_ERLADM_c011_lview_t9233.jpg,faceight/images/20260415_061902_ERLADM_c011_f000286.jpg
20260415_061902_ERLADM_c011_left_f005588.jpg,20260415_061902_ERLADM,011,left,5588,180233,625783,3b5d65e538492c34589f4a6cc7f012bf,1,20260415_061902_ERLADM_c011_lview_t180233.jpg,faceight/images/20260415_061902_ERLADM_c011_f005588.jpg
20260415_073827_ERJBXC_c000_left_f000100.jpg,20260415_073827_ERJBXC,000,left,100,3233,738159,da38d90cbd8e6eea452e7c2b70cc76c2,1,20260415_073827_ERJBXC_c000_lview_t3233.jpg,faceight/images/20260415_073827_ERJBXC_c000_f000100.jpg
20260415_073827_ERJBXC_c000_left_f005588.jpg,20260415_073827_ERJBXC,000,left,5588,180233,709359,84de9782c0a2338bc3dfacd441d373a4,1,20260415_073827_ERJBXC_c000_lview_t180233.jpg,faceight/images/20260415_073827_ERJBXC_c000_f005588.jpg
20260415_080854_JXWABC_c001_left_f000286.jpg,20260415_080854_JXWABC,001,left,286,9233,754010,28c7cc37b3fd47a6dbf54a87bf66a1f2,1,20260415_080854_JXWABC_c001_lview_t9233.jpg,faceight/images/20260415_080854_JXWABC_c001_f000286.jpg
20260416_051345_YDAZRL_c000_left_f000286.jpg,20260416_051345_YDAZRL,000,left,286,9233,371838,12b7ca34896b58705cf24e77a20bafc9,1,20260416_051345_YDAZRL_c000_lview_t9233.jpg,faceight/images/20260416_051345_YDAZRL_c000_f000286.jpg
20260416_051345_YDAZRL_c000_left_f005588.jpg,20260416_051345_YDAZRL,000,left,5588,180233,614552,083eec39bf238eb2385d3c26ac66e753,1,20260416_051345_YDAZRL_c000_lview_t180233.jpg,faceight/images/20260416_051345_YDAZRL_c000_f005588.jpg
20260416_054500_MPYLSE_c000_left_f001867.jpg,20260416_054500_MPYLSE,000,left,1867,60233,596735,859f0b9745658d67680c20f6d515bd8b,1,20260416_054500_MPYLSE_c000_lview_t60233.jpg,faceight/images/20260416_054500_MPYLSE_c000_f001867.jpg
20260416_091341_WMAVJB_c001_left_f000100.jpg,20260416_091341_WMAVJB,001,left,100,3233,733543,be186f9139a8fffca950c6b8b4dcf744,1,20260416_091341_WMAVJB_c001_lview_t3233.jpg,faceight/images/20260416_091341_WMAVJB_c001_f000100.jpg
20260417_073530_RMCRLU_c000_left_f000100.jpg,20260417_073530_RMCRLU,000,left,100,3233,556864,181d230b950b97de3277cb21a3e22d39,1,20260417_073530_RMCRLU_c000_lview_t3233.jpg,faceight/images/20260417_073530_RMCRLU_c000_f000100.jpg
20260417_073530_RMCRLU_c000_left_f001867.jpg,20260417_073530_RMCRLU,000,left,1867,60233,562161,30122d97718d90b2a6503e06ad69fdb3,1,20260417_073530_RMCRLU_c000_lview_t60233.jpg,faceight/images/20260417_073530_RMCRLU_c000_f001867.jpg
20260417_075140_YJFCAD_c001_left_f000224.jpg,20260417_075140_YJFCAD,001,left,224,7233,629516,2c1d83df16b1ed94ca8e40c3c1d29cff,1,20260417_075140_YJFCAD_c001_lview_t7233.jpg,faceight/images/20260417_075140_YJFCAD_c001_f000224.jpg
20260417_075140_YJFCAD_c001_left_f003728.jpg,20260417_075140_YJFCAD,001,left,3728,120233,610687,3075bf29580a0016d315e445c29568b6,1,20260417_075140_YJFCAD_c001_lview_t120233.jpg,faceight/images/20260417_075140_YJFCAD_c001_f003728.jpg
20260417_075140_YJFCAD_c001_left_f005588.jpg,20260417_075140_YJFCAD,001,left,5588,180233,612572,73665fed621da0212bcaf782dfd5ff81,1,20260417_075140_YJFCAD_c001_lview_t180233.jpg,faceight/images/20260417_075140_YJFCAD_c001_f005588.jpg
20260418_003331_BGDZXM_c023_left_f000100.jpg,20260418_003331_BGDZXM,023,left,100,3233,496135,697646cdfd8b3ecc4aae163840106a10,1,20260418_003331_BGDZXM_c023_lview_t3233.jpg,faceight/images/20260418_003331_BGDZXM_c023_f000100.jpg
20260418_003331_BGDZXM_c023_left_f000286.jpg,20260418_003331_BGDZXM,023,left,286,9233,534754,46c7301cb99b79649a12f92a9698730b,1,20260418_003331_BGDZXM_c023_lview_t9233.jpg,faceight/images/20260418_003331_BGDZXM_c023_f000286.jpg
20260418_003331_BGDZXM_c023_left_f001867.jpg,20260418_003331_BGDZXM,023,left,1867,60233,598496,e5351ce4af414b2dd17ec1a9f3c3d9cf,1,20260418_003331_BGDZXM_c023_lview_t60233.jpg,faceight/images/20260418_003331_BGDZXM_c023_f001867.jpg
20260418_003331_BGDZXM_c023_left_f005588.jpg,20260418_003331_BGDZXM,023,left,5588,180233,556164,6b288eb56b43bbd0d71f48a6cd9aea27,1,20260418_003331_BGDZXM_c023_lview_t180233.jpg,faceight/images/20260418_003331_BGDZXM_c023_f005588.jpg
20260418_013407_GUAUAH_c005_left_f005588.jpg,20260418_013407_GUAUAH,005,left,5588,180233,587022,8c8d2ea7806ef9ca7256da96efb70d60,1,20260418_013407_GUAUAH_c005_lview_t180233.jpg,faceight/images/20260418_013407_GUAUAH_c005_f005588.jpg
20260418_072746_FZXEJB_c002_left_f005588.jpg,20260418_072746_FZXEJB,002,left,5588,180233,607369,cc9b456dcb60e55b0999a4a8f627d4d1,1,20260418_072746_FZXEJB_c002_lview_t180233.jpg,faceight/images/20260418_072746_FZXEJB_c002_f005588.jpg
20260419_005122_WRTECC_c018_left_f000100.jpg,20260419_005122_WRTECC,018,left,100,3233,472221,b87f7c4403599d916a3919e87b99aeb7,1,20260419_005122_WRTECC_c018_lview_t3233.jpg,faceight/images/20260419_005122_WRTECC_c018_f000100.jpg
20260419_005122_WRTECC_c018_left_f001867.jpg,20260419_005122_WRTECC,018,left,1867,60233,554002,dc7e959ee2976c90f0a5044988d44339,1,20260419_005122_WRTECC_c018_lview_t60233.jpg,faceight/images/20260419_005122_WRTECC_c018_f001867.jpg
