image,session,chunk,eye,frame_idx,size,md5,t_ms,src_path
20260419_091248_TYMVSS_c001_left_f000000.jpg,20260419_091248_TYMVSS,001,left,0,719157,119b541da2d04ba4d4d3c0f877b2c6a7,0,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0000000.jpg
20260419_091248_TYMVSS_c001_left_f000060.jpg,20260419_091248_TYMVSS,001,left,60,811306,8a3dd26451943b9fbcbe6da9d99a11aa,2000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0000200.jpg
20260419_091248_TYMVSS_c001_left_f000120.jpg,20260419_091248_TYMVSS,001,left,120,799166,4b596622688ac252519798f6b0fb0c93,4000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0000400.jpg
20260419_091248_TYMVSS_c001_left_f000180.jpg,20260419_091248_TYMVSS,001,left,180,741324,9d0a2d46fdb1054b138f42c5418f548d,6000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0000600.jpg
20260419_091248_TYMVSS_c001_left_f000240.jpg,20260419_091248_TYMVSS,001,left,240,824775,53172793e7766490257ed56d17249813,8000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0000800.jpg
20260419_091248_TYMVSS_c001_left_f000300.jpg,20260419_091248_TYMVSS,001,left,300,786118,a054778b1f31c666d4b52b4670f0666c,10000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0001000.jpg
20260419_091248_TYMVSS_c001_left_f000360.jpg,20260419_091248_TYMVSS,001,left,360,826290,015f0498355b9fcbd0a655e76c71b9c7,12000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0001200.jpg
20260419_091248_TYMVSS_c001_left_f000420.jpg,20260419_091248_TYMVSS,001,left,420,779829,66c3009ab88954ff6804219b75ff51c1,14000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0001400.jpg
20260419_091248_TYMVSS_c001_left_f000480.jpg,20260419_091248_TYMVSS,001,left,480,818129,32e896669e7bd7d34997ef169b995bdb,16000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0001600.jpg
20260419_091248_TYMVSS_c001_left_f000540.jpg,20260419_091248_TYMVSS,001,left,540,832038,090ed3b5612207e91e743d7c90388e97,18000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0001800.jpg
20260419_091248_TYMVSS_c001_left_f000600.jpg,20260419_091248_TYMVSS,001,left,600,824850,5a0282caa28372b85c703cb81043f6ce,20000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0002000.jpg
20260419_091248_TYMVSS_c001_left_f000660.jpg,20260419_091248_TYMVSS,001,left,660,839090,32c29cc50ac36e67b37fa591eee965dc,22000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0002200.jpg
20260419_091248_TYMVSS_c001_left_f000720.jpg,20260419_091248_TYMVSS,001,left,720,859785,3bf60b53e37b8c77b3af0870f5e96d2c,24000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0002400.jpg
20260419_091248_TYMVSS_c001_left_f000780.jpg,20260419_091248_TYMVSS,001,left,780,826352,3120c737f0d72e69aa68dd198b6aecc3,26000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0002600.jpg
20260419_091248_TYMVSS_c001_left_f000840.jpg,20260419_091248_TYMVSS,001,left,840,848339,3176ab11c69b501868e563872ce9a10d,28000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0002800.jpg
20260419_091248_TYMVSS_c001_left_f000900.jpg,20260419_091248_TYMVSS,001,left,900,811548,ee65fb10b9ed2c18ce5aeb68d75ee350,30000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0003000.jpg
20260419_091248_TYMVSS_c001_left_f000960.jpg,20260419_091248_TYMVSS,001,left,960,820359,8285ee9ae6c9c01f124e0cbb06cb3afe,32000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0003200.jpg
20260419_091248_TYMVSS_c001_left_f001020.jpg,20260419_091248_TYMVSS,001,left,1020,850409,9ad34cceb90719d6447a63ee5e4be922,34000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0003400.jpg
20260419_091248_TYMVSS_c001_left_f001080.jpg,20260419_091248_TYMVSS,001,left,1080,787849,c3aa1f139bea3ad9519d594cd84827ef,36000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0003600.jpg
20260419_091248_TYMVSS_c001_left_f001140.jpg,20260419_091248_TYMVSS,001,left,1140,809861,7fc22ddda3f47321aa51099df00adb2d,38000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0003800.jpg
20260419_091248_TYMVSS_c001_left_f001200.jpg,20260419_091248_TYMVSS,001,left,1200,762112,6e454b06f978bd730154b296995e3436,40000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0004000.jpg
20260419_091248_TYMVSS_c001_left_f001260.jpg,20260419_091248_TYMVSS,001,left,1260,845319,9a1425382c5a05653790c026c0f98500,42000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0004200.jpg
20260419_091248_TYMVSS_c001_left_f001320.jpg,20260419_091248_TYMVSS,001,left,1320,776316,36bba0eb7307ffb1648cdcd7d7391ef1,44000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0004400.jpg
20260419_091248_TYMVSS_c001_left_f001380.jpg,20260419_091248_TYMVSS,001,left,1380,820938,45abe86553ce797d0189127dcf4af2a9,46000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0004600.jpg
20260419_091248_TYMVSS_c001_left_f001440.jpg,20260419_091248_TYMVSS,001,left,1440,795678,db4ed7c242ffedefb2c36dc33bfcc144,48000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0004800.jpg
20260419_091248_TYMVSS_c001_left_f001500.jpg,20260419_091248_TYMVSS,001,left,1500,850436,a86fad321dedc2083894ad6fa407d93f,50000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0005000.jpg
20260419_091248_TYMVSS_c001_left_f001560.jpg,20260419_091248_TYMVSS,001,left,1560,803125,c9e9f619a895a560ed9869b8851a6fbe,52000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0005200.jpg
20260419_091248_TYMVSS_c001_left_f001620.jpg,20260419_091248_TYMVSS,001,left,1620,818138,08a5a23eb3accaf9274e4e517e9ce05c,54000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0005400.jpg
20260419_091248_TYMVSS_c001_left_f001680.jpg,20260419_091248_TYMVSS,001,left,1680,858203,59fc4a70fad3bb7d9f2a6ff4c0ec9145,56000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0005600.jpg
20260419_091248_TYMVSS_c001_left_f001740.jpg,20260419_091248_TYMVSS,001,left,1740,804820,6d20a468ec7d94b36d8425539b081802,58000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0005800.jpg
20260419_091248_TYMVSS_c001_left_f001800.jpg,20260419_091248_TYMVSS,001,left,1800,784637,870dac9e686d94aa13b83c7c15875705,60000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0006000.jpg
20260419_091248_TYMVSS_c001_left_f001860.jpg,20260419_091248_TYMVSS,001,left,1860,772758,9ca6bcebe4b7a9acdd32644f9b08ede8,62000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0006200.jpg
20260419_091248_TYMVSS_c001_left_f001920.jpg,20260419_091248_TYMVSS,001,left,1920,814993,3c8e1f449058c46101c57eff13b35812,64000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0006400.jpg
20260419_091248_TYMVSS_c001_left_f001980.jpg,20260419_091248_TYMVSS,001,left,1980,854149,04d36aab2e8946e9fb03c7492563ad52,66000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0006600.jpg
20260419_091248_TYMVSS_c001_left_f002040.jpg,20260419_091248_TYMVSS,001,left,2040,820473,880f6607b417c130c7c1bb9b3695fc58,68000,/root/failset-frames/frames/20260419_091248_TYMVSS_c001/lview/t0006800.jpg
