image,session,chunk,eye,frame_idx,size,md5,src_key,src_frame,oss_key
20260515_080706_YPFFJB_007_f001070.jpg,20260515_080706_YPFFJB,007,left,1070,350971,8bdee29c9a71e4ba11758905f1854ac1,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,1070,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f001070.jpg
20260515_080706_YPFFJB_007_f002985.jpg,20260515_080706_YPFFJB,007,left,2985,302503,3b098dabefd9e5b834a3dbd97a87e580,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,2985,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f002985.jpg
20260515_080706_YPFFJB_007_f002990.jpg,20260515_080706_YPFFJB,007,left,2990,306460,7d60cd121b3d389f71a829f91a5f84cf,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,2990,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f002990.jpg
20260515_080706_YPFFJB_007_f002995.jpg,20260515_080706_YPFFJB,007,left,2995,314944,4823791dc220017725cd3653aa1d71d5,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,2995,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f002995.jpg
20260515_080706_YPFFJB_007_f003000.jpg,20260515_080706_YPFFJB,007,left,3000,312973,59003f4fcc1749bd4fb62783b0078db5,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,3000,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f003000.jpg
20260515_080706_YPFFJB_007_f003005.jpg,20260515_080706_YPFFJB,007,left,3005,312541,f87529626780fec5256e3ecbb6b755e8,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,3005,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f003005.jpg
20260515_080706_YPFFJB_007_f003010.jpg,20260515_080706_YPFFJB,007,left,3010,313307,40bf97dbc0da3068a36d27e80c8bf09c,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,3010,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f003010.jpg
20260515_080706_YPFFJB_007_f003015.jpg,20260515_080706_YPFFJB,007,left,3015,312420,bd6fc2c9faf429225065f04e6f5cd7bd,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,3015,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f003015.jpg
20260515_080706_YPFFJB_007_f007765.jpg,20260515_080706_YPFFJB,007,left,7765,308100,0d1f30250fa81fbf117e800a4aacf967,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,7765,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f007765.jpg
20260515_080706_YPFFJB_007_f007770.jpg,20260515_080706_YPFFJB,007,left,7770,314244,2aed9a2e51aadc871f37bb8df9ead08f,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,7770,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f007770.jpg
20260515_080706_YPFFJB_007_f007775.jpg,20260515_080706_YPFFJB,007,left,7775,310479,9a3d61f475c1073276c1262310c2afe4,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,7775,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f007775.jpg
20260515_080706_YPFFJB_007_f007780.jpg,20260515_080706_YPFFJB,007,left,7780,315886,192967d671d36991de9902a5e483c9ba,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,7780,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f007780.jpg
20260515_080706_YPFFJB_007_f007785.jpg,20260515_080706_YPFFJB,007,left,7785,313407,a5fa0cc62c3362d9954e2491fa916dc1,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,7785,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f007785.jpg
20260515_080706_YPFFJB_007_f007790.jpg,20260515_080706_YPFFJB,007,left,7790,314841,979522609aec7b1ad2a45075406a7a57,20260515_080706_YPFFJB/chunk_007/vst_left/vst_left_video.mp4,7790,pii/data/gt_bench_full/20260515_080706_YPFFJB_007_f007790.jpg
