image,session,chunk,eye,frame_idx,size,md5,src_key,src_frame,oss_key
20260416_061151_TUZKZT_c000_f002760.jpg,20260416_061151_TUZKZT,000,right,2760,624749,62761de642adbd520a9153beedba4d6c,20260416_061151_TUZKZT/chunk_000/vst_right/vst_right_video.mp4,2760,pii/data/face_mine_right/20260416_061151_TUZKZT_c000_f002760.jpg
20260416_062911_WTVGJZ_c000_f004290.jpg,20260416_062911_WTVGJZ,000,right,4290,617412,98d726c27338a018909cd5849927963a,20260416_062911_WTVGJZ/chunk_000/vst_right/vst_right_video.mp4,4290,pii/data/face_mine_right/20260416_062911_WTVGJZ_c000_f004290.jpg
20260416_084618_YLQDQB_c000_f000240.jpg,20260416_084618_YLQDQB,000,right,240,531538,76d0d84f62464c92dc105f57a0575ce7,20260416_084618_YLQDQB/chunk_000/vst_right/vst_right_video.mp4,240,pii/data/face_mine_right/20260416_084618_YLQDQB_c000_f000240.jpg
20260416_084618_YLQDQB_c000_f000720.jpg,20260416_084618_YLQDQB,000,right,720,525069,34f0d7047b679562f235084b2b089f1f,20260416_084618_YLQDQB/chunk_000/vst_right/vst_right_video.mp4,720,pii/data/face_mine_right/20260416_084618_YLQDQB_c000_f000720.jpg
20260416_090536_APJCNV_c000_f000090.jpg,20260416_090536_APJCNV,000,right,90,517329,b6894778d894140d9ac33e41017b12e0,20260416_090536_APJCNV/chunk_000/vst_right/vst_right_video.mp4,90,pii/data/face_mine_right/20260416_090536_APJCNV_c000_f000090.jpg
20260416_090536_APJCNV_c000_f000870.jpg,20260416_090536_APJCNV,000,right,870,526632,3433756296f5fb380f7b1525037a1af2,20260416_090536_APJCNV/chunk_000/vst_right/vst_right_video.mp4,870,pii/data/face_mine_right/20260416_090536_APJCNV_c000_f000870.jpg
20260417_032135_YRFJZY_c000_f003300.jpg,20260417_032135_YRFJZY,000,right,3300,586205,c8fc299a1d13964ec50c70bda734b41a,20260417_032135_YRFJZY/chunk_000/vst_right/vst_right_video.mp4,3300,pii/data/face_mine_right/20260417_032135_YRFJZY_c000_f003300.jpg
20260417_071645_RDBWJT_c000_f001200.jpg,20260417_071645_RDBWJT,000,right,1200,591973,b4872da3f7703b073c08028b8bc7bd3f,20260417_071645_RDBWJT/chunk_000/vst_right/vst_right_video.mp4,1200,pii/data/face_mine_right/20260417_071645_RDBWJT_c000_f001200.jpg
20260417_072423_XNNYPA_c001_f005580.jpg,20260417_072423_XNNYPA,001,right,5580,572848,a458860ed053e9959f18ba3ab785bb0f,20260417_072423_XNNYPA/chunk_001/vst_right/vst_right_video.mp4,5580,pii/data/face_mine_right/20260417_072423_XNNYPA_c001_f005580.jpg
20260417_073649_FWGUJX_c001_f004080.jpg,20260417_073649_FWGUJX,001,right,4080,601277,c84dcc9b3e17be5ec97868b3f95ccd25,20260417_073649_FWGUJX/chunk_001/vst_right/vst_right_video.mp4,4080,pii/data/face_mine_right/20260417_073649_FWGUJX_c001_f004080.jpg
