image,session,chunk,eye,frame_idx,size,md5,scene,width,height,src_path,oss_key
0_Parade_Parade_0_1014.jpg,0--Parade,,,,631543,786d847cc8aa971fa1f6989e0c9ea492,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_1014.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_1014.jpg
0_Parade_Parade_0_1019.jpg,0--Parade,,,,604088,be9702fde08fc0d97c15aaab6e87c1de,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_1019.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_1019.jpg
0_Parade_Parade_0_1040.jpg,0--Parade,,,,412986,12bfa83c5b4096219c3b9725b405139b,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_1040.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_1040.jpg
0_Parade_Parade_0_1041.jpg,0--Parade,,,,535164,96c9d0ced3c5e9c2f2c7ed4b7753061a,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_1041.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_1041.jpg
0_Parade_Parade_0_1042.jpg,0--Parade,,,,658944,4cd3b42bbb2d86aa337850afd5aaa875,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_1042.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_1042.jpg
0_Parade_Parade_0_106.jpg,0--Parade,,,,638012,279f4d45f2c7e0e0e3635c638ec56776,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_106.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_106.jpg
0_Parade_Parade_0_109.jpg,0--Parade,,,,687268,03731395b139cdc1d411f9611cd87cdf,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_109.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_109.jpg
0_Parade_Parade_0_11.jpg,0--Parade,,,,587986,9817e3fea15ca92186e527f3726566e2,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_11.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_11.jpg
0_Parade_Parade_0_110.jpg,0--Parade,,,,587865,8ec3468b3fb369fbb2c6d99a310934f5,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_110.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_110.jpg
0_Parade_Parade_0_123.jpg,0--Parade,,,,482446,738ae87be6efb0b2d7f1b3935961ccf8,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_123.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_123.jpg
0_Parade_Parade_0_126.jpg,0--Parade,,,,453970,3992fdde3bfc97076cc4a24b92b56c5f,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_126.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_126.jpg
0_Parade_Parade_0_127.jpg,0--Parade,,,,764444,833ff50cf64651d5dcca233824796d35,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_127.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_127.jpg
0_Parade_Parade_0_129.jpg,0--Parade,,,,614441,3af7bdb2df3188d04d44a02e93f54bae,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_129.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_129.jpg
0_Parade_Parade_0_132.jpg,0--Parade,,,,710706,39f61580cdcfc866d3e05c18297e3704,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_132.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_132.jpg
0_Parade_Parade_0_136.jpg,0--Parade,,,,685501,17a88c095f86b9c707e7c14e85c20cee,0--Parade,2328,1748,/data/esteban/pii/datasets/wider_fisheye_v2/images/0--Parade/0_Parade_Parade_0_136.jpg,pii/data/wider_fisheye_fill/0_Parade_Parade_0_136.jpg
