image,session,chunk,view,frame_idx,size,md5,oss_key
20260616_053528_BYEJKD_c035_lview_f000000.jpg,20260616_053528_BYEJKD,035,lview,0,249069,2b8a4cae94b7e6ad0833f280a25fd0d7,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f000000.jpg
20260616_053528_BYEJKD_c035_lview_f000210.jpg,20260616_053528_BYEJKD,035,lview,210,262241,262c14fbc543e96b9e0d58e73f388ff7,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f000210.jpg
20260616_053528_BYEJKD_c035_lview_f000420.jpg,20260616_053528_BYEJKD,035,lview,420,224476,f07e5ec1126f80e2e8588b3a6ad02cba,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f000420.jpg
20260616_053528_BYEJKD_c035_lview_f000630.jpg,20260616_053528_BYEJKD,035,lview,630,225436,f41cbc5b94de865af5f316f682e36214,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f000630.jpg
20260616_053528_BYEJKD_c035_lview_f000840.jpg,20260616_053528_BYEJKD,035,lview,840,263008,c9740dfde16de896c0059aca7fd44728,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f000840.jpg
20260616_053528_BYEJKD_c035_lview_f001050.jpg,20260616_053528_BYEJKD,035,lview,1050,263505,04b9c28e8b8cc2414eac160e91591a12,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f001050.jpg
20260616_053528_BYEJKD_c035_lview_f001260.jpg,20260616_053528_BYEJKD,035,lview,1260,272294,9bededb566f2ec1126a862dac16d3e50,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f001260.jpg
20260616_053528_BYEJKD_c035_lview_f001470.jpg,20260616_053528_BYEJKD,035,lview,1470,271366,9b606d5f014cafbb4da4331e51edbd28,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f001470.jpg
20260616_053528_BYEJKD_c035_lview_f001680.jpg,20260616_053528_BYEJKD,035,lview,1680,262184,8ab2a691fd9de637ff5df2e790353372,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f001680.jpg
20260616_053528_BYEJKD_c035_lview_f001890.jpg,20260616_053528_BYEJKD,035,lview,1890,227852,4e0dd717cad3b442919b3a9d63a9e0d2,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f001890.jpg
20260616_053528_BYEJKD_c035_lview_f002100.jpg,20260616_053528_BYEJKD,035,lview,2100,332786,c345a1da9543abb3537d55dcee4ead0a,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f002100.jpg
20260616_053528_BYEJKD_c035_lview_f002220.jpg,20260616_053528_BYEJKD,035,lview,2220,320800,6679dbabbc9f5db283b953d6a94659ef,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f002220.jpg
20260616_053528_BYEJKD_c035_lview_f002340.jpg,20260616_053528_BYEJKD,035,lview,2340,270180,3f80b7e8a2604852efde8709fc51a858,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f002340.jpg
20260616_053528_BYEJKD_c035_lview_f002550.jpg,20260616_053528_BYEJKD,035,lview,2550,256782,34ec043b11ff4397447ed6078029731c,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f002550.jpg
20260616_053528_BYEJKD_c035_lview_f002760.jpg,20260616_053528_BYEJKD,035,lview,2760,270914,e7c111f872062cfd81ae45baa75e51f4,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f002760.jpg
20260616_053528_BYEJKD_c035_lview_f002970.jpg,20260616_053528_BYEJKD,035,lview,2970,290192,6a612ed39b85df0b8d94e8e9bbd456e9,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f002970.jpg
20260616_053528_BYEJKD_c035_lview_f003180.jpg,20260616_053528_BYEJKD,035,lview,3180,295660,880a2292cfe23367724b382d729bef42,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f003180.jpg
20260616_053528_BYEJKD_c035_lview_f003390.jpg,20260616_053528_BYEJKD,035,lview,3390,285212,40515656cc7a80777d5ea401ad1d86d9,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f003390.jpg
20260616_053528_BYEJKD_c035_lview_f003600.jpg,20260616_053528_BYEJKD,035,lview,3600,291494,8bb76f715c235b62010780c8feea3adc,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f003600.jpg
20260616_053528_BYEJKD_c035_lview_f003810.jpg,20260616_053528_BYEJKD,035,lview,3810,297423,2d4af4cdb04b42a94231093e2f51c011,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f003810.jpg
20260616_053528_BYEJKD_c035_lview_f004020.jpg,20260616_053528_BYEJKD,035,lview,4020,295621,c9564ed2caa1f813ea40b7397590194b,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f004020.jpg
20260616_053528_BYEJKD_c035_lview_f004230.jpg,20260616_053528_BYEJKD,035,lview,4230,300881,0d5365d4ad34cb314dd1677240fbf298,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f004230.jpg
20260616_053528_BYEJKD_c035_lview_f004440.jpg,20260616_053528_BYEJKD,035,lview,4440,296155,7d376663d016377abcc073b0e09bf41a,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f004440.jpg
20260616_053528_BYEJKD_c035_lview_f004650.jpg,20260616_053528_BYEJKD,035,lview,4650,278533,74d7f7bf28a098dc79311c988c5e9726,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f004650.jpg
20260616_053528_BYEJKD_c035_lview_f004860.jpg,20260616_053528_BYEJKD,035,lview,4860,300676,3c1c1849a208acfe33128f816b10304a,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f004860.jpg
20260616_053528_BYEJKD_c035_lview_f005070.jpg,20260616_053528_BYEJKD,035,lview,5070,289601,66f286ddbdd0d81927e49659e6ea283f,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f005070.jpg
20260616_053528_BYEJKD_c035_lview_f005280.jpg,20260616_053528_BYEJKD,035,lview,5280,296188,ea4071ce6fcb73f200b786241be0e8e8,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f005280.jpg
20260616_053528_BYEJKD_c035_lview_f005490.jpg,20260616_053528_BYEJKD,035,lview,5490,298114,49eec2d46744f351c9b9e6aa90634691,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f005490.jpg
20260616_053528_BYEJKD_c035_lview_f005700.jpg,20260616_053528_BYEJKD,035,lview,5700,296417,e7788a5c72758b7eed7a2b8c73371df9,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f005700.jpg
20260616_053528_BYEJKD_c035_lview_f005910.jpg,20260616_053528_BYEJKD,035,lview,5910,298400,98a586540b3c032dddd4a07fb2e62f70,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f005910.jpg
20260616_053528_BYEJKD_c035_lview_f006120.jpg,20260616_053528_BYEJKD,035,lview,6120,303331,5f3f03d04efae99969458d6a95ef33a2,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f006120.jpg
20260616_053528_BYEJKD_c035_lview_f006330.jpg,20260616_053528_BYEJKD,035,lview,6330,304383,58ca882304dca8f4474ad1bef4ebd24a,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f006330.jpg
20260616_053528_BYEJKD_c035_lview_f006540.jpg,20260616_053528_BYEJKD,035,lview,6540,295679,71c495392376b6332fedd2909148427c,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f006540.jpg
20260616_053528_BYEJKD_c035_lview_f006750.jpg,20260616_053528_BYEJKD,035,lview,6750,304216,6875956d43c628f9ff13cc16affa1438,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f006750.jpg
20260616_053528_BYEJKD_c035_lview_f006960.jpg,20260616_053528_BYEJKD,035,lview,6960,290148,701db5be298c6ed3f655118687e29ffd,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f006960.jpg
20260616_053528_BYEJKD_c035_lview_f007170.jpg,20260616_053528_BYEJKD,035,lview,7170,304106,dc47830b615d4d3f31f5a8093fef6146,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f007170.jpg
20260616_053528_BYEJKD_c035_lview_f007380.jpg,20260616_053528_BYEJKD,035,lview,7380,302454,ddefbbd38e00ee89523fd140da5692fb,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f007380.jpg
20260616_053528_BYEJKD_c035_lview_f007590.jpg,20260616_053528_BYEJKD,035,lview,7590,295812,f9ebb4360dd2993093eb47c5321323e4,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f007590.jpg
20260616_053528_BYEJKD_c035_lview_f007800.jpg,20260616_053528_BYEJKD,035,lview,7800,291978,e2f77b7894f49cf04194607136c60e73,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f007800.jpg
20260616_053528_BYEJKD_c035_lview_f008010.jpg,20260616_053528_BYEJKD,035,lview,8010,303590,90fccce7fb62a031e1e31a31ff6f02f1,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f008010.jpg
20260616_053528_BYEJKD_c035_lview_f008220.jpg,20260616_053528_BYEJKD,035,lview,8220,296360,0b562ef58eb6978a4810d49350e12b18,pii/data/pii_frames/20260616_053528_BYEJKD_c035_lview_f008220.jpg
